Order,Seasonal_Order,AIC,BIC
"(0, 2, 1)","(0, 0, 1, 12)",3126.753543086739,3139.5380181397018
"(0, 2, 1)","(0, 0, 2, 12)",3047.3094894512024,3064.26278795136
"(0, 2, 1)","(0, 1, 0, 12)",3291.2208828105468,3299.743866179189
"(0, 2, 1)","(0, 1, 1, 12)",2927.019533235378,2939.7345071104965
"(0, 2, 1)","(0, 1, 2, 12)",2843.4383454407475,2860.2967778344364
"(0, 2, 1)","(0, 2, 0, 12)",3769.271208245746,3777.747857495825
"(0, 2, 1)","(0, 2, 1, 12)",3178.2417382114854,3190.885562506752
"(0, 2, 1)","(0, 2, 2, 12)",2857.070870460085,2873.832132083498
"(0, 2, 1)","(1, 0, 0, 12)",3114.7492109530945,3127.5451145913075
"(0, 2, 1)","(1, 0, 1, 12)",3004.0868955702545,3021.1328623075387
"(0, 2, 1)","(1, 0, 2, 12)",2937.231807495503,2958.4234306207004
"(0, 2, 1)","(1, 1, 0, 12)",3117.3658293015014,3130.092499097867
"(0, 2, 1)","(1, 1, 1, 12)",2929.0204589749055,2945.9737574750634
"(0, 2, 1)","(1, 1, 2, 12)",2838.2042074299125,2859.2772479220234
"(0, 2, 1)","(1, 2, 0, 12)",3449.3607816404483,3462.0165819995236
"(0, 2, 1)","(1, 2, 1, 12)",3082.6090573067254,3099.4674897004143
"(0, 2, 1)","(1, 2, 2, 12)",2859.063089877964,2880.0146669072296
"(0, 2, 1)","(2, 0, 0, 12)",3031.492899124645,3048.461792186466
"(0, 2, 1)","(2, 0, 1, 12)",2950.8231202663474,2972.034236593623
"(0, 2, 1)","(2, 0, 2, 12)",2930.7380423151976,2956.167990065435
"(0, 2, 1)","(2, 1, 0, 12)",2953.9906730944645,2970.8650735732313
"(0, 2, 1)","(2, 1, 1, 12)",2882.4090541732858,2903.5020547717445
"(0, 2, 1)","(2, 1, 2, 12)",2840.5437973749968,2865.83144596553
"(0, 2, 1)","(2, 2, 0, 12)",3204.991207266171,3221.7688288305894
"(0, 2, 1)","(2, 2, 1, 12)",2946.4640976405162,2967.4361245960395
"(0, 2, 1)","(2, 2, 2, 12)",2885.371786297661,2910.5136787327797
"(0, 2, 2)","(0, 0, 0, 12)",3243.832737313127,3256.679537553815
"(0, 2, 2)","(0, 0, 1, 12)",3108.062767847604,3125.1010937038636
"(0, 2, 2)","(0, 0, 2, 12)",3012.5907906655684,3033.772638616587
"(0, 2, 2)","(0, 1, 0, 12)",3155.701608729301,3168.4803531214957
"(0, 2, 2)","(0, 1, 1, 12)",2812.893840047516,2829.8393184083307
"(0, 2, 2)","(0, 1, 2, 12)",2703.1072377523355,2724.1702682310934
"(0, 2, 2)","(0, 2, 0, 12)",3619.0794610016437,3631.788569772255
"(0, 2, 2)","(0, 2, 1, 12)",3034.111648637344,3050.96207302035
"(0, 2, 2)","(0, 2, 2, 12)",2743.1292890787486,2764.0706096941617
"(0, 2, 2)","(1, 0, 0, 12)",3069.9814004092786,3087.0426052602293
"(0, 2, 2)","(1, 0, 1, 12)",2896.325603231697,2917.623510552022
"(0, 2, 2)","(1, 0, 2, 12)",2808.967218958579,2834.385436499801
"(0, 2, 2)","(1, 1, 0, 12)",2970.531361490095,2987.500254551916
"(0, 2, 2)","(1, 1, 1, 12)",2803.8781928324433,2825.060040783462
"(0, 2, 2)","(1, 1, 2, 12)",2703.872796430439,2729.148433004948
"(0, 2, 2)","(1, 2, 0, 12)",3269.9741369519825,3286.8485374307493
"(0, 2, 2)","(1, 2, 1, 12)",2936.4345309268247,2957.4975614055825
"(0, 2, 2)","(1, 2, 2, 12)",2733.738560645209,2758.8681453837044
"(0, 2, 2)","(2, 0, 0, 12)",2943.9121513849323,2965.123267712208
"(0, 2, 2)","(2, 0, 1, 12)",2830.372909233954,2855.826248826685
"(0, 2, 2)","(2, 0, 2, 12)",2808.270448480618,2837.925035612044
"(0, 2, 2)","(2, 1, 0, 12)",2818.210509557916,2839.3035101563746
"(0, 2, 2)","(2, 1, 1, 12)",2715.5355935021444,2740.8471942202946
"(0, 2, 2)","(2, 1, 2, 12)",2695.4976890153594,2724.98593168562
"(0, 2, 2)","(2, 2, 0, 12)",3064.1989643229335,3085.1709912784568
"(0, 2, 2)","(2, 2, 1, 12)",2813.805287116637,2838.971719463265
"(0, 2, 2)","(2, 2, 2, 12)",2735.1903215639177,2764.508170425496
"(1, 0, 0)","(0, 0, 0, 12)",3257.557364396247,3266.136795538065
"(1, 0, 0)","(0, 0, 1, 12)",3136.11680836918,3148.918410014804
"(1, 0, 0)","(0, 0, 2, 12)",3061.3138031713015,3078.2904707739563
"(1, 0, 0)","(0, 1, 0, 12)",3109.2432666751993,3117.777667772282
"(1, 0, 0)","(0, 1, 1, 12)",2827.6594572660215,2840.391957968013
"(1, 0, 0)","(0, 1, 2, 12)",2732.3862975783527,2749.2686582587517
"(1, 0, 0)","(0, 2, 0, 12)",3560.1766287986843,3568.6649626000117
"(1, 0, 0)","(0, 2, 1, 12)",2997.5284148200117,3010.1901853303107
"(1, 0, 0)","(0, 2, 2, 12)",2754.9386917677066,2771.7244682788846
"(1, 0, 0)","(1, 0, 0, 12)",3110.8938983401495,3123.6954999857735
"(1, 0, 0)","(1, 0, 1, 12)",2899.0490078093144,2916.11781000348
